gen_total_loss,gen_gan_loss,gen_l1_loss,disc_loss
9.031016,0.9454073,8.085609,1.3326308
9.01704,0.5877634,8.429276,1.5862036
9.05276,0.9164784,8.136282,1.4399323
9.000233,0.5302315,8.470001,1.6574848
9.054018,0.63941544,8.414602,1.5588474
9.172545,1.1463917,8.026154,1.2373822
9.10437,0.5878493,8.5165205,1.6412163
8.897447,0.66638076,8.231066,1.4952855
8.8939,0.8446127,8.049287,1.3000824
8.937702,0.5880302,8.349672,1.5948868
