epoch,loss,lr,output_layer_1_csi133,output_layer_1_csi74,output_layer_1_loss,output_layer_1_pod133,output_layer_1_pod74,output_layer_1_sucr133,output_layer_1_sucr74,output_layer_csi133,output_layer_csi74,output_layer_loss,output_layer_pod133,output_layer_pod74,output_layer_sucr133,output_layer_sucr74,val_loss,val_output_layer_1_csi133,val_output_layer_1_csi74,val_output_layer_1_loss,val_output_layer_1_pod133,val_output_layer_1_pod74,val_output_layer_1_sucr133,val_output_layer_1_sucr74,val_output_layer_csi133,val_output_layer_csi74,val_output_layer_loss,val_output_layer_pod133,val_output_layer_pod74,val_output_layer_sucr133,val_output_layer_sucr74
31,1.3802512810627618,0.001,0.1256442,0.43916452,1.1915382,0.1454314,0.5203738,0.6630618,0.7548051,0.1256442,0.43916452,0.18871297,0.1454314,0.5203738,0.6630618,0.7548051,2.4357972943782804,0.22230479,0.5191487,2.1840007,0.24642909,0.6007223,0.7031228,0.7924092,0.22230479,0.5191487,0.25179642,0.24642909,0.6007223,0.7031228,0.7924092
32,1.378664932549,0.001,0.118711784,0.44341457,1.1899654,0.13640448,0.5262948,0.68194866,0.75562334,0.118711784,0.44341457,0.18869957,0.13640448,0.5262948,0.68194866,0.75562334,2.426185779174169,0.22113663,0.51362634,2.1765015,0.24321398,0.59883523,0.7163026,0.78291523,0.22113663,0.51362634,0.2496844,0.24321398,0.59883523,0.7163026,0.78291523
33,1.3742796155810355,0.001,0.12419671,0.44748074,1.188329,0.14296663,0.53198457,0.6719961,0.75475144,0.12419671,0.44748074,0.18595067,0.14296663,0.53198457,0.6719961,0.75475144,2.4270680397748947,0.26253265,0.5368239,2.180734,0.30313182,0.6582079,0.669925,0.7442769,0.26253265,0.5368239,0.24633412,0.30313182,0.6582079,0.669925,0.7442769
34,1.3657479703426363,0.001,0.1264748,0.4496732,1.18065,0.14597292,0.5347659,0.6723697,0.75644934,0.1264748,0.4496732,0.18509796,0.14597292,0.5347659,0.6723697,0.75644934,2.4147464263439176,0.23475128,0.5297781,2.1729097,0.2569545,0.6227437,0.7342055,0.7797143,0.23475128,0.5297781,0.24183671,0.2569545,0.6227437,0.7342055,0.7797143
35,1.3578442088762919,0.001,0.13279843,0.45640504,1.17484,0.15716875,0.54385436,0.6692828,0.7585634,0.13279843,0.45640504,0.18300417,0.15716875,0.54385436,0.6692828,0.7585634,2.42446168700854,0.2645012,0.5306313,2.1778626,0.30315787,0.63120437,0.6815545,0.7687404,0.2645012,0.5306313,0.24659899,0.30315787,0.63120437,0.6815545,0.7687404
36,1.3341269089778265,0.001,0.13422357,0.46169972,1.1561679,0.1568983,0.54871327,0.66914815,0.7615516,0.13422357,0.46169972,0.177959,0.1568983,0.54871327,0.66914815,0.7615516,2.4713742713133495,0.29801312,0.5459899,2.2256813,0.3569274,0.68595356,0.6466408,0.72762465,0.29801312,0.5459899,0.24569309,0.3569274,0.68595356,0.6466408,0.72762465
37,1.3383673098683357,0.001,0.12993908,0.46604955,1.1587934,0.15274389,0.55376667,0.6680253,0.76274025,0.12993908,0.46604955,0.17957392,0.15274389,0.55376667,0.6680253,0.76274025,2.4018769675493243,0.23094364,0.52418363,2.1556256,0.2596202,0.6136022,0.68699634,0.7826499,0.23094364,0.52418363,0.24625145,0.2596202,0.6136022,0.68699634,0.7826499
38,1.3242585183183353,0.001,0.13545936,0.46460277,1.1476271,0.16011232,0.5537667,0.6631559,0.7583375,0.13545936,0.46460277,0.17663145,0.16011232,0.5537667,0.6631559,0.7583375,2.418411295612653,0.27734965,0.548789,2.171285,0.3365819,0.6868757,0.61913496,0.73200405,0.27734965,0.548789,0.24712652,0.3365819,0.6868757,0.61913496,0.73200405
39,1.3302964084347089,0.001,0.13671812,0.4665532,1.1530457,0.15964961,0.554247,0.66702616,0.76308286,0.13671812,0.4665532,0.17725079,0.15964961,0.554247,0.66702616,0.76308286,2.42267273525397,0.25235868,0.52515197,2.1752007,0.28625017,0.6151198,0.6880907,0.78181034,0.25235868,0.52515197,0.24747185,0.28625017,0.6151198,0.6880907,0.78181034
40,1.3379872847596803,0.001,0.14112669,0.47349882,1.1623625,0.16675952,0.56219304,0.6686896,0.7663202,0.14112669,0.47349882,0.17562479,0.16675952,0.56219304,0.6686896,0.7663202,2.4132091389099757,0.2431024,0.53681844,2.171206,0.2700501,0.64123726,0.71390104,0.7668041,0.2431024,0.53681844,0.24200338,0.2700501,0.64123726,0.71390104,0.7668041
41,1.3308959331115087,0.001,0.14080662,0.47168976,1.1561682,0.1669723,0.5624585,0.66665876,0.761433,0.14080662,0.47168976,0.17472768,0.1669723,0.5624585,0.66665876,0.761433,2.392848195632299,0.23817807,0.52130705,2.1506538,0.2617569,0.60328376,0.73070204,0.79310405,0.23817807,0.52130705,0.24219432,0.2617569,0.60328376,0.73070204,0.79310405
42,1.3089772885044417,0.001,0.14517671,0.4757655,1.1382706,0.17282647,0.5669198,0.66184175,0.76328117,0.14517671,0.4757655,0.17070684,0.17282647,0.5669198,0.66184175,0.76328117,2.4364789295196534,0.29168165,0.54028183,2.1903043,0.35194796,0.654281,0.63418627,0.7555798,0.29168165,0.54028183,0.24617468,0.35194796,0.654281,0.63418627,0.7555798
43,1.3025555286804835,0.001,0.14780194,0.47833753,1.1324222,0.17579785,0.56868887,0.66303754,0.76637125,0.14780194,0.47833753,0.17013343,0.17579785,0.56868887,0.66303754,0.76637125,2.4120015106598536,0.29329282,0.5508132,2.1705914,0.35603768,0.6838697,0.62970126,0.7386779,0.29329282,0.5508132,0.24141026,0.35603768,0.6838697,0.62970126,0.7386779
44,1.296814075112343,0.001,0.1424517,0.4812556,1.1280687,0.17140904,0.5720737,0.6672455,0.767543,0.1424517,0.4812556,0.16874549,0.17140904,0.5720737,0.6672455,0.767543,2.4147531880935036,0.25156903,0.5326688,2.1741247,0.2814536,0.6309396,0.7074241,0.7735572,0.25156903,0.5326688,0.24062847,0.2814536,0.6309396,0.7074241,0.7735572
45,1.3075449722011885,0.001,0.14569435,0.48501247,1.1386533,0.17477581,0.5764418,0.6604173,0.76916194,0.14569435,0.48501247,0.16889176,0.17477581,0.5764418,0.6604173,0.76916194,2.4043108870585757,0.25046,0.5226089,2.1585207,0.28023112,0.6092241,0.7080586,0.78616905,0.25046,0.5226089,0.24579044,0.28023112,0.6092241,0.7080586,0.78616905
46,1.2989619748791057,0.001,0.14788747,0.48590326,1.1309681,0.17705403,0.57995284,0.65627706,0.7653712,0.14788747,0.48590326,0.16799392,0.17705403,0.57995284,0.65627706,0.7653712,2.4135433671871818,0.25813252,0.52287155,2.1642733,0.29051858,0.6108485,0.70200926,0.78358096,0.25813252,0.52287155,0.2492701,0.29051858,0.6108485,0.70200926,0.78358096
47,1.2943960645794867,0.001,0.14440523,0.48789823,1.1271397,0.17140189,0.5789419,0.6631076,0.7716147,0.14440523,0.48789823,0.16725633,0.17140189,0.5789419,0.6631076,0.7716147,2.410813585321108,0.29992244,0.5573131,2.1692042,0.37102067,0.7036469,0.61659986,0.72777605,0.29992244,0.5573131,0.24160925,0.37102067,0.7036469,0.61659986,0.72777605
48,1.2928096120556196,0.001,0.15417966,0.49562338,1.1273497,0.18792486,0.5923935,0.6585934,0.7679457,0.15417966,0.49562338,0.16546,0.18792486,0.5923935,0.6585934,0.7679457,2.3770628406604133,0.26995772,0.5352794,2.1390376,0.30844203,0.6415434,0.68789005,0.76350665,0.26995772,0.5352794,0.23802547,0.30844203,0.6415434,0.68789005,0.76350665
